stn,wban,c,year
704540,25704,273,1988
030240,99999,273,1988
039640,99999,273,1985
577070,99999,273,1983
060110,99999,273,1983
101360,99999,273,1998
030590,99999,273,1985
964130,99999,273,1985
038390,99999,273,1982
013110,99999,273,1983
479090,99999,273,1990
039020,99999,273,1995
639800,99999,273,1988
039670,99999,273,1988
619670,70701,273,1990
913340,40505,273,1994
037150,99999,273,1994
060110,99999,273,1990
703610,25339,273,1987
912120,41415,273,1997
035020,99999,273,1994
032040,99999,273,1988
030280,99999,273,1983
031620,99999,273,1987
038270,99999,272,1981
918110,99999,272,1995
037150,99999,272,1981
060110,99999,272,1984
031400,99999,272,1989
704540,25704,272,1984
479710,42402,272,1988
039740,99999,272,1982
031140,99999,272,1986
030910,99999,272,1982
039620,99999,272,1995
914080,40309,272,1993
039700,99999,272,1984
031620,99999,272,1982
990180,99999,272,1982
912120,41415,272,1987
030680,99999,272,1984
100350,99999,272,1988
030280,99999,272,1985
030910,99999,272,1993
039600,99999,272,1982
038170,99999,272,1986
566910,99999,272,1985
030660,99999,272,1991
037400,99999,272,1982
030570,99999,272,1998
914130,40308,272,1995
039520,99999,272,1988
039700,99999,272,1991
915510,99999,271,1989
032450,99999,271,1985
039710,99999,271,1985
030630,99999,271,1984
039670,99999,271,1994
859720,99999,271,1998
030010,99999,271,1982
031350,99999,271,1982
032040,99999,271,1999
014150,99999,271,1988
062500,99999,271,1988
476040,99999,271,1995
035340,99999,271,1993
917650,61705,271,1984
913760,40710,271,1989
038080,99999,271,1999
030130,99999,271,1992
039600,99999,271,1987
030910,99999,271,1995
039690,99999,271,1985
030010,99999,271,1983
999999,41406,271,1990
030130,99999,271,1990
030660,99999,271,1984
032220,99999,271,1986
033020,99999,271,1999
711010,99999,271,1983
036030,99999,271,1981
039690,99999,271,1996
039550,99999,270,1981
711110,99999,270,1981
033340,99999,270,1994
911760,22519,270,1987
101260,99999,270,1998
039650,99999,270,1999
101130,99999,270,1988
888890,99999,270,1990
030490,99999,270,1990
821930,99999,270,1986
060110,99999,270,1986
689060,99999,270,1995
888890,99999,270,1993
060100,99999,270,1992
888890,99999,270,1988
030490,99999,270,1981
479180,99999,270,1992
477500,99999,270,1988
031400,99999,270,1982
039690,99999,270,1983
039700,99999,270,1987
038080,99999,270,1998
033340,99999,270,1992
060090,99999,270,1994
033180,99999,270,1988
703610,25339,270,1988
030280,99999,270,1986
062600,99999,270,1998
039600,99999,270,1981
039740,99999,270,1994
062800,99999,270,1988
619670,70701,270,1988
039710,99999,270,1982
037400,99999,270,1983
479090,99999,270,1987
030660,99999,270,1996
689940,99999,270,1995
913480,40504,270,1981
913340,40505,270,1992
990170,99999,270,1986
030130,99999,270,1991
689060,99999,270,1984
812250,99999,270,1984
039170,99999,270,1996
012410,99999,270,1991
703160,25624,270,1982
031450,99999,270,1981
949980,99999,270,1981
012410,99999,270,1989
566910,99999,269,1995
032450,99999,269,1988
030590,99999,269,1986
913340,40505,269,1987
100150,99999,269,1988
479180,99999,269,1990
014150,99999,269,1989
038090,99999,269,1998
062750,99999,269,1981
990230,99999,269,1984
917650,61705,269,1994
039690,99999,269,1988
033020,99999,269,1986
689940,99999,269,1985
035340,99999,269,1982
477500,99999,269,1991
031380,99999,269,1988
859720,99999,269,1981
031600,99999,269,1999
030630,99999,269,1995
039690,99999,269,1991
060090,99999,269,1992
726377,99999,269,1994
060100,99999,269,1994
711070,25342,269,1987
914080,40309,269,1995
014150,99999,269,1983
037150,99999,269,1983
062700,99999,268,1998
031620,99999,268,1981
619670,70701,268,1991
039650,99999,268,1988
718980,99999,268,1984
062700,99999,268,1988
039690,99999,268,1989
812250,99999,268,1989
038170,99999,268,1981
913340,40505,268,1995
030910,99999,268,1991
031710,99999,268,1992
031600,99999,268,1983
039690,99999,268,1990
711090,99999,268,1984
479090,99999,268,1992
039650,99999,268,1989
039650,99999,268,1981
032400,99999,268,1985
030250,99999,268,1997
789250,99999,268,1988
030910,99999,268,1996
039520,99999,268,1985
911760,22519,268,1985
033470,99999,268,1993
031710,99999,268,1988
101220,99999,268,1998
062600,99999,268,1981
039600,99999,268,1985
032570,99999,268,1994
039690,99999,268,1987
034140,99999,267,1993
039600,99999,267,1988
703950,25325,267,1988
711070,25342,267,1983
038090,99999,267,1986
917650,61705,267,1986
010100,99999,267,1992
030040,99999,267,1982
913760,40710,267,1990
577070,99999,267,1981
033340,99999,267,1981
038090,99999,267,1981
912120,41415,267,1995
031620,99999,267,1995
040480,99999,267,1997
038270,99999,267,1982
039650,99999,267,1983
032040,99999,267,1993
039670,99999,267,1992
963150,99999,267,1988
031140,99999,267,1983
040300,99999,267,1987
062800,99999,267,1998
479090,99999,267,1999
039020,99999,267,1999
619970,99999,267,1984
031360,99999,267,1999
031710,99999,267,1994
703710,25333,267,1988
011020,99999,267,1989
477040,99999,267,1991
104100,99999,267,1988
912120,41415,267,1983
039690,99999,267,1992
039640,99999,267,1984
031020,99999,267,1995
030240,99999,267,1993
995270,99999,267,1993
039520,99999,267,1982
031710,99999,267,1983
031710,99999,267,1990
039550,99999,267,1999
031110,99999,266,1995
061040,99999,266,1988
033340,99999,266,1990
030910,99999,266,1990
479180,99999,266,1989
038090,99999,266,1987
035340,99999,266,1981
039020,99999,266,1992
788970,99999,266,1982
036030,99999,266,1986
013110,99999,266,1988
039620,99999,266,1996
033180,99999,266,1981
039690,99999,266,1984
039530,99999,266,1996
913760,40710,266,1985
486470,99999,266,1984
031600,99999,266,1994
061100,99999,266,1988
039710,99999,266,1990
039520,99999,266,1981
033020,99999,266,1985
030240,99999,266,1994
577070,99999,266,1988
033180,99999,266,1982
063440,99999,266,1998
918110,99999,266,1993
888890,99999,266,1997
789700,99999,266,1984
101470,99999,266,1988
888890,99999,266,1986
711010,99999,266,1987
062100,99999,266,1988
038390,99999,265,1981
477500,99999,265,1993
788970,99999,265,1992
789540,99999,265,1984
917650,61705,265,1983
040180,16201,265,1992
031620,99999,265,1984
703160,25624,265,1990
030660,99999,265,1999
039740,99999,265,1989
718980,99999,265,1981
711010,99999,265,1994
011520,99999,265,1983
032220,99999,265,1981
032040,99999,265,1992
913760,40710,265,1988
012410,99999,265,1983
038090,99999,265,1999
689060,99999,265,1981
812250,99999,265,1985
039650,99999,265,1990
060100,99999,265,1996
060100,99999,265,1998
031350,99999,265,1985
032040,99999,265,1991
039710,99999,265,1989
789250,99999,265,1986
037150,99999,265,1986
703894,99999,265,1999
032220,99999,265,1988
040300,99999,265,1989
039650,99999,265,1982
030910,99999,265,1992
030010,99999,265,1994
031020,99999,265,1988
031450,99999,265,1983
703160,25624,265,1998
062400,99999,265,1998
040180,16201,264,1991
060110,99999,264,1999
859300,99999,264,1985
476020,99999,264,1993
711070,25342,264,1981
703980,25308,264,1984
010100,99999,264,1989
039570,99999,264,1994
038090,99999,264,1994
917650,61705,264,1993
703160,25624,264,1994
032570,99999,264,1983
703710,25333,264,1999
013755,99999,264,1992
031350,99999,264,1989
718980,99999,264,1987
032570,99999,264,1996
031620,99999,264,1991
062750,99999,264,1988
039600,99999,264,1983
479090,99999,264,1991
102150,99999,264,1988
013110,99999,264,1982
479180,99999,264,1983
703710,25333,264,1991
821930,99999,264,1988
060110,99999,264,1988
030490,99999,264,1982
030590,99999,264,1990
062900,99999,264,1998
990230,99999,263,1985
477040,99999,263,1993
038400,99999,263,1992
718980,99999,263,1994
063100,99999,263,1988
888890,99999,263,1999
032570,99999,263,1999
040300,99999,263,1997
039620,99999,263,1984
037720,99999,263,1981
033540,99999,263,1988
031140,99999,263,1989
101290,99999,263,1988
032450,99999,263,1987
031600,99999,263,1996
038950,99999,263,1981
577070,99999,263,1985
011520,99999,263,1991
888890,99999,263,1994
785350,11630,263,1988
039550,99999,263,1990
703610,25339,263,1992
031400,99999,263,1991
566910,99999,263,1981
060110,99999,263,1991
031110,99999,263,1993
032400,99999,263,1988
035020,99999,263,1986
039170,99999,263,1997
035020,99999,263,1993
039710,99999,263,1994
704540,25704,263,1983
037400,99999,263,1998
104100,99999,262,1981
704140,99999,262,1991
030550,99999,262,1988
032040,99999,262,1982
703710,25333,262,1987
964130,99999,262,1987
039020,99999,262,1990
034950,99999,262,1981
703610,25339,262,1991
030060,99999,262,1989
938440,99999,262,1994
033340,99999,262,1999
030490,99999,262,1993
031710,99999,262,1993
034140,99999,262,1992
039740,99999,262,1987
039550,99999,262,1996
039550,99999,262,1992
032040,99999,262,1994
039650,99999,262,1994
102240,99999,262,1988
013170,99999,262,1990
102240,99999,262,1998
031600,99999,262,1995
038940,99999,262,1994
035340,99999,262,1988
479270,99999,262,1988
859300,99999,262,1987
100550,99999,262,1998
788970,99999,262,1988
619670,70701,262,1987
039650,99999,262,1998
040300,99999,262,1991
034140,99999,262,1988
486470,99999,262,1988
030660,99999,262,1982
913480,40504,262,1983
032400,99999,262,1990
033340,99999,262,1987
703950,25325,262,1987
037760,99999,261,1981
619670,70701,261,1992
031600,99999,261,1982
039640,99999,261,1987
039020,99999,261,1981
063100,99999,261,1981
